timestamp_ist,underlying,regime_class,position_size_mult,strategies_active,cumulative_realized_pnl_inr
2023-10-02 09:16,BANKNIFTY,RANGING,0.75,11,0.00
2023-10-02 09:16,NIFTY,UNKNOWN,0.00,0,0.00
2023-10-02 09:36,BANKNIFTY,UNKNOWN,0.00,0,-376463.66
2023-10-02 11:42,BANKNIFTY,HIGH_VOL,0.00,0,-376463.66
2023-10-02 11:42,NIFTY,HIGH_VOL,0.00,0,-376463.66
2023-10-02 11:44,BANKNIFTY,UNKNOWN,0.00,0,-376463.66
2023-10-02 11:44,NIFTY,UNKNOWN,0.00,0,-376463.66
2023-10-02 11:45,BANKNIFTY,HIGH_VOL,0.00,0,-376463.66
2023-10-02 11:45,NIFTY,HIGH_VOL,0.00,0,-376463.66
2023-10-02 11:48,BANKNIFTY,UNKNOWN,0.00,0,-376463.66
2023-10-02 11:48,NIFTY,UNKNOWN,0.00,0,-376463.66
2023-10-02 11:49,BANKNIFTY,HIGH_VOL,0.00,0,-376463.66
2023-10-02 11:49,NIFTY,HIGH_VOL,0.00,0,-376463.66
2023-10-02 11:50,BANKNIFTY,UNKNOWN,0.00,0,-376463.66
2023-10-02 11:50,NIFTY,UNKNOWN,0.00,0,-376463.66
2023-10-02 11:51,BANKNIFTY,HIGH_VOL,0.00,0,-376463.66
2023-10-02 11:51,NIFTY,HIGH_VOL,0.00,0,-376463.66
2023-10-02 11:55,BANKNIFTY,UNKNOWN,0.00,0,-376463.66
2023-10-02 11:55,NIFTY,UNKNOWN,0.00,0,-376463.66
2023-10-02 15:07,BANKNIFTY,TRENDING_BULL,1.00,22,-376463.66
2023-10-03 09:16,NIFTY,EXPIRY_DAY,0.50,1,-376463.66
2023-10-03 09:45,BANKNIFTY,UNKNOWN,0.00,0,-927820.34
2023-10-03 11:05,BANKNIFTY,RANGING,0.75,11,-927820.34
2023-10-03 11:18,BANKNIFTY,UNKNOWN,0.00,0,-927820.34
2023-10-03 11:19,BANKNIFTY,RANGING,0.75,11,-927820.34
2023-10-03 11:31,BANKNIFTY,UNKNOWN,0.00,0,-927820.34
2023-10-03 11:32,BANKNIFTY,RANGING,0.75,11,-927820.34
2023-10-03 11:35,BANKNIFTY,UNKNOWN,0.00,0,-927820.34
2023-10-03 11:41,BANKNIFTY,RANGING,0.75,11,-927820.34
2023-10-03 11:42,BANKNIFTY,UNKNOWN,0.00,0,-927820.34
2023-10-03 12:07,BANKNIFTY,RANGING,0.75,11,-927820.34
2023-10-03 12:13,BANKNIFTY,UNKNOWN,0.00,0,-927820.34
2023-10-03 12:23,BANKNIFTY,RANGING,0.75,11,-927820.34
2023-10-03 12:24,BANKNIFTY,UNKNOWN,0.00,0,-927820.34
2023-10-03 14:24,BANKNIFTY,TRENDING_BULL,1.00,22,-927820.34
2023-10-04 09:16,NIFTY,UNKNOWN,0.00,0,-927820.34
2023-10-04 09:19,BANKNIFTY,UNKNOWN,0.00,0,-927820.34
2023-10-04 12:45,BANKNIFTY,TRENDING_BULL,1.00,22,-927820.34
2023-10-04 14:45,BANKNIFTY,UNKNOWN,0.00,0,-556680.33
2023-10-06 09:45,BANKNIFTY,RANGING,0.75,11,-556680.33
2023-10-06 10:15,BANKNIFTY,UNKNOWN,0.00,0,1767485.15
2023-10-09 09:30,NIFTY,TRENDING_BULL,1.00,22,1767485.15
2023-10-09 10:30,BANKNIFTY,RANGING,0.75,11,4868227.42
2023-10-09 11:45,BANKNIFTY,UNKNOWN,0.00,0,4868227.42
2023-10-09 12:18,NIFTY,UNKNOWN,0.00,0,4868227.42
2023-10-09 14:53,BANKNIFTY,HIGH_VOL,0.00,0,4868227.42
2023-10-09 14:53,NIFTY,HIGH_VOL,0.00,0,4868227.42
2023-10-09 14:56,BANKNIFTY,UNKNOWN,0.00,0,4868227.42
2023-10-09 14:56,NIFTY,UNKNOWN,0.00,0,4868227.42
2023-10-09 15:09,BANKNIFTY,HIGH_VOL,0.00,0,4868227.42
2023-10-09 15:09,NIFTY,HIGH_VOL,0.00,0,4868227.42
2023-10-09 15:10,BANKNIFTY,UNKNOWN,0.00,0,4868227.42
2023-10-09 15:10,NIFTY,UNKNOWN,0.00,0,4868227.42
2023-10-10 09:16,NIFTY,EXPIRY_DAY,0.50,1,4868227.42
2023-10-11 09:16,NIFTY,TRENDING_BULL,1.00,22,4868227.42
2023-10-11 09:55,NIFTY,UNKNOWN,0.00,0,9261678.18
2023-10-11 12:23,BANKNIFTY,HIGH_VOL,0.00,0,9261678.18
2023-10-11 12:23,NIFTY,HIGH_VOL,0.00,0,9261678.18
2023-10-11 12:26,BANKNIFTY,UNKNOWN,0.00,0,9261678.18
2023-10-11 12:26,NIFTY,UNKNOWN,0.00,0,9261678.18
2023-10-11 12:38,BANKNIFTY,HIGH_VOL,0.00,0,9261678.18
2023-10-11 12:38,NIFTY,HIGH_VOL,0.00,0,9261678.18
2023-10-11 12:39,BANKNIFTY,UNKNOWN,0.00,0,9261678.18
2023-10-11 12:39,NIFTY,UNKNOWN,0.00,0,9261678.18
2023-10-11 15:13,NIFTY,TRENDING_BULL,1.00,22,9261678.18
2023-10-12 09:16,NIFTY,UNKNOWN,0.00,0,9261678.18
2023-10-12 11:30,NIFTY,TRENDING_BULL,1.00,22,9261678.18
2023-10-13 09:28,NIFTY,UNKNOWN,0.00,0,9541909.99
2023-10-13 13:00,NIFTY,TRENDING_BULL,1.00,22,9541909.99
2023-10-16 10:00,NIFTY,UNKNOWN,0.00,0,10133499.43
2023-10-16 11:30,NIFTY,TRENDING_BULL,1.00,22,10133499.43
2023-10-16 14:00,NIFTY,UNKNOWN,0.00,0,10133499.43
