timestamp_ist,equity_inr,cumulative_pnl_inr,period_return_pct
2023-10-02 09:16:00,10000000.00,0.00,0.0000
2023-10-02 09:17:00,10000000.00,0.00,0.0000
2023-10-02 09:18:00,10000000.00,0.00,0.0000
2023-10-02 09:19:00,10000000.00,0.00,0.0000
2023-10-02 09:20:00,10000000.00,0.00,0.0000
2023-10-02 09:21:00,10000000.00,0.00,0.0000
2023-10-02 09:22:00,10000000.00,0.00,0.0000
2023-10-02 09:23:00,10000000.00,0.00,0.0000
2023-10-02 09:24:00,10000000.00,0.00,0.0000
2023-10-02 09:25:00,10000000.00,0.00,0.0000
2023-10-02 09:26:00,10000000.00,0.00,0.0000
2023-10-02 09:27:00,10000000.00,0.00,0.0000
2023-10-02 09:28:00,10000000.00,0.00,0.0000
2023-10-02 09:29:00,9991275.24,-8724.76,-0.0872
2023-10-02 09:30:00,9910919.17,-89080.83,-0.8043
2023-10-02 09:31:00,9907204.05,-92795.95,-0.0375
2023-10-02 09:32:00,9925633.01,-74366.99,0.1860
2023-10-02 09:33:00,9844773.59,-155226.41,-0.8147
2023-10-02 09:34:00,9816494.93,-183505.07,-0.2872
2023-10-02 09:35:00,9766380.40,-233619.60,-0.5105
2023-10-02 09:36:00,9623536.34,-376463.66,-1.4626
2023-10-02 09:37:00,9623536.34,-376463.66,0.0000
2023-10-02 09:38:00,9623536.34,-376463.66,0.0000
2023-10-02 09:39:00,9623536.34,-376463.66,0.0000
2023-10-02 09:40:00,9623536.34,-376463.66,0.0000
2023-10-02 09:41:00,9623536.34,-376463.66,0.0000
2023-10-02 09:42:00,9623536.34,-376463.66,0.0000
2023-10-02 09:43:00,9623536.34,-376463.66,0.0000
2023-10-02 09:44:00,9623536.34,-376463.66,0.0000
2023-10-02 09:45:00,9623536.34,-376463.66,0.0000
2023-10-02 09:46:00,9623536.34,-376463.66,0.0000
2023-10-02 09:47:00,9623536.34,-376463.66,0.0000
2023-10-02 09:48:00,9623536.34,-376463.66,0.0000
2023-10-02 09:49:00,9623536.34,-376463.66,0.0000
2023-10-02 09:50:00,9623536.34,-376463.66,0.0000
2023-10-02 09:51:00,9623536.34,-376463.66,0.0000
2023-10-02 09:52:00,9623536.34,-376463.66,0.0000
2023-10-02 09:53:00,9623536.34,-376463.66,0.0000
2023-10-02 09:54:00,9623536.34,-376463.66,0.0000
2023-10-02 09:55:00,9623536.34,-376463.66,0.0000
2023-10-02 09:56:00,9623536.34,-376463.66,0.0000
2023-10-02 09:57:00,9623536.34,-376463.66,0.0000
2023-10-02 09:58:00,9623536.34,-376463.66,0.0000
2023-10-02 09:59:00,9623536.34,-376463.66,0.0000
2023-10-02 10:00:00,9623536.34,-376463.66,0.0000
2023-10-02 10:01:00,9623536.34,-376463.66,0.0000
2023-10-02 10:02:00,9623536.34,-376463.66,0.0000
2023-10-02 10:03:00,9623536.34,-376463.66,0.0000
2023-10-02 10:04:00,9623536.34,-376463.66,0.0000
2023-10-02 10:05:00,9623536.34,-376463.66,0.0000
2023-10-02 10:06:00,9623536.34,-376463.66,0.0000
2023-10-02 10:07:00,9623536.34,-376463.66,0.0000
2023-10-02 10:08:00,9623536.34,-376463.66,0.0000
2023-10-02 10:09:00,9623536.34,-376463.66,0.0000
2023-10-02 10:10:00,9623536.34,-376463.66,0.0000
2023-10-02 10:11:00,9623536.34,-376463.66,0.0000
2023-10-02 10:12:00,9623536.34,-376463.66,0.0000
